NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9339,FEDERALIZADO,SECUNDARIA,GENERAL,0.0255,0.0,0.0,0.8478
VESPERTINO,9339,FEDERALIZADO,SECUNDARIA,GENERAL,0.0308,0.0,0.0,0.8459
VESPERTINO,9417,FEDERALIZADO,SECUNDARIA,GENERAL,0.0672,0.2002,0.1282,0.6647
MATUTINO,9417,FEDERALIZADO,SECUNDARIA,GENERAL,0.0853,0.2715,0.2184,0.7064
VESPERTINO,9359,FEDERALIZADO,SECUNDARIA,GENERAL,0.0612,0.0342,0.027999999999999997,0.8291
MATUTINO,9359,FEDERALIZADO,SECUNDARIA,GENERAL,0.0217,0.0056,0.0,0.8607
VESPERTINO,9329,FEDERALIZADO,SECUNDARIA,GENERAL,0.009000000000000001,0.0,0.0,0.9251
MATUTINO,9329,FEDERALIZADO,SECUNDARIA,GENERAL,0.0117,0.0,0.0,0.9385
VESPERTINO,9356,FEDERALIZADO,SECUNDARIA,GENERAL,0.0853,0.3023,0.16399999999999998,0.8966
MATUTINO,9356,FEDERALIZADO,SECUNDARIA,GENERAL,0.017,0.2832,0.1195,0.8971
VESPERTINO,9373,FEDERALIZADO,SECUNDARIA,GENERAL,0.0532,0.0275,0.0183,0.8
MATUTINO,9373,FEDERALIZADO,SECUNDARIA,GENERAL,0.0152,0.0077,0.0029,0.9945
MATUTINO,9419,FEDERALIZADO,SECUNDARIA,GENERAL,0.0026,0.0978,0.0626,0.9259
VESPERTINO,9419,FEDERALIZADO,SECUNDARIA,GENERAL,0.0321,0.1674,0.1192,0.7175
VESPERTINO,9429,FEDERALIZADO,SECUNDARIA,GENERAL,0.0786,0.2147,0.1382,0.6048
MATUTINO,9429,FEDERALIZADO,SECUNDARIA,GENERAL,0.0202,0.1396,0.0343,0.7037
MATUTINO,9451,FEDERALIZADO,SECUNDARIA,GENERAL,0.025,0.0274,0.0,0.8053
VESPERTINO,9451,FEDERALIZADO,SECUNDARIA,GENERAL,0.0328,0.0023,0.0,0.8169
MATUTINO,9020,FEDERALIZADO,SECUNDARIA,GENERAL,0.0101,0.0,0.0,1.0
VESPERTINO,9020,FEDERALIZADO,SECUNDARIA,GENERAL,0.0749,0.0,0.0,0.7491
VESPERTINO,9390,FEDERALIZADO,SECUNDARIA,GENERAL,0.0265,0.0151,0.006,0.7164
MATUTINO,9390,FEDERALIZADO,SECUNDARIA,GENERAL,0.0497,0.0,0.0,0.9396
MATUTINO,9100,FEDERALIZADO,SECUNDARIA,GENERAL,0.0173,0.0256,0.0144,0.8085
MATUTINO,0,FEDERALIZADO,SECUNDARIA,GENERAL,0.0545,0.0,0.0,0.7351
VESPERTINO,0,FEDERALIZADO,SECUNDARIA,GENERAL,0.0424,0.0,0.0,0.64
VESPERTINO,9039,FEDERALIZADO,SECUNDARIA,TECNICA,0.0588,0.1004,0.0871,0.7534
MATUTINO,9039,FEDERALIZADO,SECUNDARIA,TECNICA,0.0307,0.084,0.0658,0.8373
VESPERTINO,9351,FEDERALIZADO,SECUNDARIA,TECNICA,0.0923,0.2787,0.1279,0.5845
MATUTINO,9351,FEDERALIZADO,SECUNDARIA,TECNICA,0.0438,0.2025,0.132,0.7826
VESPERTINO,9175,FEDERALIZADO,SECUNDARIA,TECNICA,0.1,0.0206,0.0165,0.7745
MATUTINO,9175,FEDERALIZADO,SECUNDARIA,TECNICA,0.0295,0.0091,0.0091,0.8029
MATUTINO,9451,FEDERALIZADO,SECUNDARIA,TECNICA,0.0624,0.0737,0.0432,0.9055
VESPERTINO,9451,FEDERALIZADO,SECUNDARIA,TECNICA,0.0739,0.1103,0.0634,0.6384
MATUTINO,9372,FEDERALIZADO,SECUNDARIA,TECNICA,0.0,0.1047,0.0698,0.8297
VESPERTINO,9372,FEDERALIZADO,SECUNDARIA,TECNICA,0.0047,0.0561,0.0117,0.8299
MATUTINO,9384,FEDERALIZADO,SECUNDARIA,TECNICA,0.0565,0.25,0.0625,0.7883
VESPERTINO,9384,FEDERALIZADO,SECUNDARIA,TECNICA,0.0763,0.1193,0.0505,0.6163
MATUTINO,9329,ESTATAL,SECUNDARIA,TECNICA,0.0405,0.1455,0.0892,0.9487
VESPERTINO,9329,ESTATAL,SECUNDARIA,TECNICA,0.3175,0.18600000000000003,0.1512,0.6452
MATUTINO,9386,PARTICULAR,SECUNDARIA,GENERAL,0.0404,0.0,0.0,0.977
MATUTINO,9069,PARTICULAR,SECUNDARIA,GENERAL,0.0777,0.0,0.0,0.8947
MATUTINO,9066,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9068,PARTICULAR,SECUNDARIA,GENERAL,0.0098,0.0123,0.0025,0.9496
MATUTINO,9361,PARTICULAR,SECUNDARIA,GENERAL,0.0051,0.0,0.0,0.82
MATUTINO,9430,PARTICULAR,SECUNDARIA,GENERAL,0.0038,0.0881,0.0,1.0
MATUTINO,0,PARTICULAR,SECUNDARIA,GENERAL,0.0294,0.0909,0.0379,0.8431
MATUTINO,9415,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.1161,0.0,0.9091
MATUTINO,9028,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9655
MATUTINO,9062,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9129999999999999
MATUTINO,9010,PARTICULAR,SECUNDARIA,GENERAL,0.0769,0.0278,0.0,1.0
MATUTINO,0,PARTICULAR,SECUNDARIA,TECNICA,0.15,0.0,0.0,1.0
MATUTINO,9424,PARTICULAR,SECUNDARIA,TECNICA,0.0395,0.1712,0.0479,1.0
MATUTINO,9415,PARTICULAR,SECUNDARIA,TECNICA,0.0122,0.0868,0.0041,0.9405
MATUTINO,9068,PARTICULAR,SECUNDARIA,TECNICA,0.0,0.0288,0.0288,0.8611
MATUTINO,9356,PARTICULAR,SECUNDARIA,TECNICA,0.0055,0.0889,0.0139,1.0
MATUTINO,9058,PARTICULAR,SECUNDARIA,TECNICA,0.0933,0.1765,0.0147,0.8387
MATUTINO,9417,PARTICULAR,SECUNDARIA,TECNICA,0.0144,0.0,0.0,0.8043
MATUTINO,9418,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.8333
MATUTINO,9092,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9388,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9057
MATUTINO,9070,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9359,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.8762
MATUTINO,9356,PARTICULAR,SECUNDARIA,GENERAL,0.0382,0.0,0.0,0.8302
MATUTINO,9369,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9351,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0714,0.0,0.8333
MATUTINO,9029,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.6
DISCONTINUO,9087,ESTATAL,SECUNDARIA,TELESECUNDARIA,0.013999999999999999,0.1085,0.066,1.0
DISCONTINUO,9358,ESTATAL,SECUNDARIA,TELESECUNDARIA,0.0,0.1146,0.0729,0.975
MATUTINO,9352,PARTICULAR,SECUNDARIA,GENERAL,0.0357,0.0,0.0,0.7
MATUTINO,9384,PARTICULAR,SECUNDARIA,GENERAL,0.0476,0.0,0.0,1.0
MATUTINO,9347,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.0
MATUTINO,9009,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.0
VESPERTINO,9064,FEDERALIZADO,SECUNDARIA,GENERAL,0.0446,0.0187,0.0164,0.7865
NOCTURNO,9064,FEDERALIZADO,SECUNDARIA,GENERAL,0.1515,0.0,0.0,0.8636
MATUTINO,9059,FEDERALIZADO,SECUNDARIA,TECNICA,0.0033,0.1739,0.0591,0.9647
VESPERTINO,9059,FEDERALIZADO,SECUNDARIA,TECNICA,0.0331,0.4086,0.2029,0.7240000000000001
MATUTINO,9418,FEDERALIZADO,SECUNDARIA,TECNICA,0.0306,0.2585,0.1332,0.8304
VESPERTINO,9418,FEDERALIZADO,SECUNDARIA,TECNICA,0.0038,0.293,0.1153,0.6626
MATUTINO,9352,FEDERALIZADO,SECUNDARIA,TECNICA,0.0078,0.0348,0.0139,0.9668
VESPERTINO,9352,FEDERALIZADO,SECUNDARIA,TECNICA,0.012,0.0375,0.0225,0.9584
MATUTINO,9092,FEDERALIZADO,SECUNDARIA,TECNICA,0.0107,0.1663,0.0724,0.9497
VESPERTINO,9092,FEDERALIZADO,SECUNDARIA,TECNICA,0.0373,0.2497,0.0752,0.7704
VESPERTINO,9325,FEDERALIZADO,SECUNDARIA,TECNICA,0.0,0.0229,0.0153,1.0
MATUTINO,9325,FEDERALIZADO,SECUNDARIA,TECNICA,0.0703,0.0672,0.0532,0.8496
MATUTINO,9060,FEDERALIZADO,SECUNDARIA,TECNICA,0.0327,0.1786,0.1001,0.8259
VESPERTINO,9060,FEDERALIZADO,SECUNDARIA,TECNICA,0.126,0.2504,0.1616,0.6318
VESPERTINO,9373,FEDERALIZADO,SECUNDARIA,TECNICA,0.0786,0.2636,0.1783,0.716
MATUTINO,9373,FEDERALIZADO,SECUNDARIA,TECNICA,0.0552,0.1859,0.1094,0.8217
MATUTINO,9322,FEDERALIZADO,SECUNDARIA,TECNICA,0.017,0.1223,0.0545,0.8989
VESPERTINO,9322,FEDERALIZADO,SECUNDARIA,TECNICA,0.0408,0.1988,0.0986,0.746
